"Entity","Year","Deaths - Self-harm - Sex: Both - Age: 70+ years (Rate)","Deaths - Self-harm - Sex: Both - Age: 50-69 years (Rate)","Deaths - Self-harm - Sex: Both - Age: 5-14 years (Rate)","Deaths - Self-harm - Sex: Both - Age: 15-49 years (Rate)"
"Oceania","2000","15.092303504072","13.970811553097","0.48607652617913","18.996512822654"
"Oceania","2001","14.788784623364","13.74884539413","0.45279074282947","18.067074739735"
"Oceania","2002","14.48818149139","13.505684018009","0.42979661691844","17.461553554094"
"Oceania","2003","14.251968490174","13.207935055691","0.42076033508115","16.97959446965"
"Oceania","2004","14.035552188568","13.05938983576","0.41634516291192","16.423690349708"
"Oceania","2005","13.619016133088","13.06208418435","0.38581969268521","16.062134421082"
"Oceania","2006","13.540345372577","13.250994960903","0.38567880938012","15.660371547256"
"Oceania","2007","13.848279127293","13.71843115287","0.41879838859676","15.982759020537"
"Oceania","2008","14.105877039413","13.980772250421","0.41472659423963","16.117196655367"
"Oceania","2009","14.097807434106","14.132593733999","0.41657680073942","16.109162356656"
"Oceania","2010","14.198735428588","14.171988231778","0.426024257043","16.070442776829"
"Oceania","2011","14.294112746429","14.161130849926","0.41589750712441","15.791331373426"
"Oceania","2012","14.236784080606","14.122888423472","0.42732325127656","15.521316908725"
"Oceania","2013","14.192478287443","14.403462254405","0.40519364881133","15.387611535857"
"Oceania","2014","14.416138630189","15.018895556923","0.3955283469992","15.876779962079"
"Oceania","2015","14.589111743035","15.143670459217","0.43354885791158","16.338954268785"
"Oceania","2016","14.467827276795","14.862446415928","0.42186424000105","16.175537328915"
"Oceania","2017","14.769096910763","14.864390002023","0.39801399829033","16.093280947513"
"Central Asia","2000","20.022269653952","23.37239526403","1.4947916737756","19.059322488865"
"Central Asia","2001","20.250775014333","23.654947668376","1.5477149525055","19.573485789121"
"Central Asia","2002","20.575787718207","23.845406114245","1.5682507325398","19.555677711837"
"Central Asia","2003","20.89396051637","24.181053875916","1.5764788868305","19.913714315178"
"Central Asia","2004","21.046797739915","24.291730959578","1.5966699725189","20.579459398837"
"Central Asia","2005","20.692279209603","23.979731160092","1.6873397395095","21.038877995572"
"Central Asia","2006","20.696303637811","22.989101802909","1.7038089215777","20.819658556064"
"Central Asia","2007","20.498163878256","21.460664007494","1.6633307571112","20.074143734122"
"Central Asia","2008","20.845721552396","19.967782842461","1.5400402099206","18.891768939621"
"Central Asia","2009","20.693194483948","18.610825620314","1.4858141810504","17.641452402221"
"Central Asia","2010","21.131821108737","18.242898289351","1.4970983637797","17.281827859344"
"Central Asia","2011","21.26438797511","17.75039969495","1.4772040650424","17.078325699555"
"Central Asia","2012","21.341668042419","17.235551423983","1.4623684737684","16.906695427508"
"Central Asia","2013","20.942704483308","16.583166497282","1.4770027896443","16.532851386716"
"Central Asia","2014","20.631939074849","16.107956731069","1.4845803350444","15.992145996878"
"Central Asia","2015","20.539118933689","15.806289674442","1.429359367536","15.389361474259"
"Central Asia","2016","20.479357570979","15.726429078167","1.369475136488","15.316683350558"
"Central Asia","2017","20.329613668849","15.612391172039","1.2921731607284","15.364380657079"
"Central Europe","2000","33.575874117513","27.283011853338","0.81217551605313","18.828113117977"
"Central Europe","2001","32.493212110709","27.244078157927","0.79075815701573","18.548246318771"
"Central Europe","2002","32.025473118545","27.331119006029","0.80413606751595","18.289444251478"
"Central Europe","2003","31.39036653217","27.389965712759","0.77071770599301","17.99166267475"
"Central Europe","2004","30.361886932443","27.24353725293","0.73853831397447","17.667147860336"
"Central Europe","2005","29.800684092684","27.351715608439","0.70735079454246","17.443720822058"
"Central Europe","2006","28.999185188795","27.166118068893","0.7039143120896","17.031149954385"
"Central Europe","2007","28.458301318927","27.03936706507","0.67662618053349","16.93829919432"
"Central Europe","2008","27.954705785146","27.032349112396","0.64064498134327","16.938285726299"
"Central Europe","2009","27.445850624064","27.056044108434","0.61771108246007","16.666961216738"
"Central Europe","2010","26.835152464724","26.542496813936","0.55744399451604","16.132136463217"
"Central Europe","2011","26.322604181786","25.969244206209","0.52474553931861","15.764359319266"
"Central Europe","2012","26.237520079819","25.659614681812","0.52248005520012","15.581785555942"
"Central Europe","2013","25.552120503271","24.658731969062","0.48917617129166","15.089006576642"
"Central Europe","2014","25.296116530894","23.820607826137","0.45456748220906","14.707731993834"
"Central Europe","2015","25.592306468138","23.855824851567","0.45149691777792","14.790481895034"
"Central Europe","2016","24.976669552353","23.147146652315","0.43410405111374","14.375466228628"
"Central Europe","2017","24.736170877731","22.789245752022","0.41529393937231","14.254801067103"
"East Asia","2000","57.663521174347","19.593436306188","1.7656550563367","15.107777017449"
"East Asia","2001","52.592072123847","17.896215849852","1.4561177757992","12.444372523117"
"East Asia","2002","51.374233520701","17.954196471108","1.0989590922607","10.601897776712"
"East Asia","2003","58.314715528587","19.854774647109","0.87480114558648","9.3932375065852"
"East Asia","2004","61.972639265629","20.524125571362","0.82526969601344","9.1229602619601"
"East Asia","2005","60.713912551698","19.743311039324","0.75515205449184","8.5738196297198"
"East Asia","2006","57.62259022116","18.657481930508","0.66493329085346","7.887703345844"
"East Asia","2007","54.963805576211","17.62707569213","0.60245199555187","7.4467839169602"
"East Asia","2008","53.239615531315","16.659260952069","0.61688085559185","7.2321975341692"
"East Asia","2009","52.108313036049","15.787588140566","0.69055091245451","7.1713396946852"
"East Asia","2010","50.649612832144","15.283840898171","0.6975930739542","7.0262420168131"
"East Asia","2011","47.803829567144","14.865073582581","0.6733720599222","6.6503861107233"
"East Asia","2012","44.795936907082","14.553289254994","0.6799351113937","6.390297544444"
"East Asia","2013","41.219660987805","14.154488516372","0.71553519948436","6.3209327378743"
"East Asia","2014","40.049482478753","14.413094705444","0.7356296942077","6.2668387231253"
"East Asia","2015","39.327066879969","14.576309922406","0.74365267299661","6.1303652358963"
"East Asia","2016","38.447313394136","14.317872245097","0.72381793969289","6.0435487579891"
"East Asia","2017","38.32112647341","13.74178898953","0.65317881980511","6.1279561698186"
"Eastern Europe","2000","50.589880157418","63.064466237494","2.1110060270912","54.329031668391"
"Eastern Europe","2001","49.503931989458","61.899306328092","2.1461708221858","53.305381275678"
"Eastern Europe","2002","49.35484948202","61.17467881441","2.0666714323888","52.754714149547"
"Eastern Europe","2003","48.404835861669","59.841993161976","1.9948885462701","52.369179185538"
"Eastern Europe","2004","46.331215005954","57.301456941795","1.9167150366712","51.98507022012"
"Eastern Europe","2005","46.457048297821","57.411775119332","1.8200652631442","53.926877403974"
"Eastern Europe","2006","43.628681665979","51.173706035018","1.6482750146134","48.835084235343"
"Eastern Europe","2007","42.071298397616","47.714092833708","1.5197261428786","46.475748979798"
"Eastern Europe","2008","42.014279094765","46.571271918597","1.4144380392153","45.677083807773"
"Eastern Europe","2009","40.31765864261","42.63376566725","1.3276849654273","41.514746405048"
"Eastern Europe","2010","40.229735472201","41.313465154092","1.238525725549","40.874839656924"
"Eastern Europe","2011","38.78447859419","38.202911140977","1.1488762509703","38.143936575479"
"Eastern Europe","2012","38.248962784024","36.436570083372","1.09939508862","37.325399408842"
"Eastern Europe","2013","37.740289447865","35.266187195624","1.0286707531385","37.219320740464"
"Eastern Europe","2014","37.624203661037","34.962485061915","1.0322302650972","37.752465066646"
