"Country Name","Country Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Africa Eastern and Southern","AFE","16.055705984705","15.512831364479","15.300714881239","15.053489930647","14.712704130515","14.521465780528","14.288163105566","14.21235107992","14.506410848755","14.448617612945","13.951808080575","13.44020483943","13.360457185829","13.325218033495","13.063833114754","13.005308578921","12.788179537389","12.760391172308","12.601524941718","12.40289167784",""
"Africa Western and Central","AFW","9.8353144472009","9.7893936798053","9.6387499842785","9.5853066311825","9.6039021490356","9.5771826534418","9.6108927837319","9.6400161541402","9.524691854631","9.5215970747399","9.5273966431384","9.4715217303665","9.419917829962","9.2325773797322","8.9462140765236","8.5860977356819","8.4737368455662","8.323011544145","8.1564558988596","8.0776173292731",""
"Europe ","EU","32.177626568122","31.838087656422","32.101844842242","31.585370557466","30.985742876536","30.42388960654","29.228799050235","27.41242961869","28.800850594727","30.995577933493","30.623287145506","29.756741011443","30.616423059536","29.294806198976","27.683016792576","26.22249494474","23.980094045419","23.338729594342","22.751787301446","21.087920828624",""
"East Asia ","EAS","13.526402483771","12.841496053637","12.930207605332","13.745157386943","13.942202292768","13.638424957138","12.937543442464","12.718214401191","12.59857438776","12.618613312984","12.338486973498","11.84078009876","11.237659809834","10.948881420619","10.766243860091","10.579045856148","10.492643582853","10.412492063115","10.448560008791","10.264691035826",""
"Central Asia","ECS","36.535522014604","35.577803975223","35.156508480067","34.470712879122","33.595965444647","33.091407831757","30.751953930223","29.189031983403","29.077316095926","28.080580441155","27.524049135789","26.671951219728","26.218282657851","25.682878633721","25.39282731686","24.124927168104","23.197126475379","21.941512227568","21.509640839465","20.447838984711",""
"South America","SAC","8.4143887433423","8.7763859223247","8.6230385159256","8.6262839959769","8.5769227019065","8.6532482368529","8.6159199310924","8.552707158435","8.8545576709671","9.0254602155438","8.8319365156964","9.172128721873","9.1007253629919","9.1462355577302","9.3540246500154","9.4235781353552","9.5481798557259","10.058878101827","9.938769429214","9.7843232737361",""
"North Africa","AFN","6.6296019766846","6.5658889401132","6.4349241054141","6.2957786793021","6.2006701416844","6.085869096792","6.0221561587799","6.200988419083","6.248771046678","6.3591786154093","6.4905458803846","6.7566450578429","6.8467268954187","6.6594127992335","6.59748414928","6.456287496673","6.3816767700963","6.2450996774901","6.1577067933295","6.0391988625928",""
"North America","NAC","17.759152014888","18.349324084481","18.760493267309","18.619756708805","18.481469881611","18.650606501292","18.882578323701","19.252869527038","19.712956027165","19.811490385799","20.231476427381","20.461546790556","20.740280511721","20.689371883067","21.308817600356","21.898827573355","22.905576325524","24.383530895741","23.646611621524","24.237840679548",""
"South Asia","SAS","16.263822794563","15.8942500887","15.752579965381","15.333804751464","15.329841781557","15.748183942712","16.029423334878","15.90562114687","15.750910578656","15.230231479623","14.994903221469","14.878936151397","14.73151195361","14.179862201235","13.328697225276","12.831524869362","12.632737862915","12.660335343673","13.091718877537","13.194513237145",""
"Sub-Saharan Africa","SSF","13.541223437465","13.197752329718","13.009142173139","12.83907581256","12.642616151332","12.516817176623","12.390548667703","12.356092429994","12.482729387549","12.446186930342","12.15307363255","11.826495223945","11.758161900431","11.661155172873","11.389666320922","11.208446034485","11.033697644476","10.95556892765","10.793110124397","10.642666548926",""
"Small states","SST","21.801052665814","21.664243814958","21.795284254851","21.160056588409","21.127860874166","21.050969217302","21.135923120062","21.886204902257","22.496973504547","22.800282284634","22.470129996992","22.142323095388","22.719683972464","22.921164439576","22.93363555913","22.241075709065","21.490827236346","20.821860037912","20.22395609862","19.661951038039",""
"World","WLD","16.7224079373","16.261082330676","16.148667880002","16.164385125984","16.046199447398","15.947724835474","15.451408387444","15.148173282116","15.10328910856","14.859326743919","14.600297959614","14.30272566639","14.008637578369","13.681572499191","13.374930729823","13.031683797017","12.86392394489","12.779020342122","12.760455026541","12.580581327942",""
